at,at_mcs,type,pid,pid_arg,mfa,atom,prompt,message,term,size,hash
1498765047,587079,send,"<0.61.0>","<0.55.0>",,,,,"{#Ref<0.0.3.40>,ok}","-1",
1498765047,587123,send,"<0.61.0>",,,"code_server",,,"{code_call,<0.61.0>,{ensure_loaded,shell}}","-1",
1498765047,593598,send,"<0.61.0>",,,"code_server",,,"{code_call,<0.61.0>,{ensure_loaded,user_default}}","-1",
1498765047,597490,spawn,"<0.62.0>","<0.61.0>","erlang:apply/2",,,,,"-1",
1498765047,597494,send,"<0.61.0>","<0.58.0>",,,,,"{'$gen_call',{<0.61.0>,#Ref<0.0.3.41>},{ignore_pids_tracing,[<0.62.0>]}}","-1",
1498765047,597517,send,"<0.62.0>",,,"init",,,"{<0.62.0>,{get_argument,async_shell_start}}","-1",
1498765047,597524,send,"<0.62.0>",,,"init",,,"{<0.62.0>,{notify_when_started,<0.62.0>}}","-1",
1498765047,597544,send,"<0.62.0>",,,"code_server",,,"{code_call,<0.62.0>,{is_loaded,shell_default}}","-1",
1498765047,599172,send,"<0.62.0>",,,"code_server",,,"{code_call,<0.62.0>,get_path}","-1",
1498765047,602284,send,"<0.62.0>","<0.4.0>",,,,,"{<0.62.0>,
 {list_dir,""/home/vg/work/espace/erunner/_build/default/lib/erunner/ebin""}}","-1",
1498765047,602568,send,"<0.62.0>","<0.4.0>",,,,,"{<0.62.0>,{list_dir,"".""}}","-1",
1498765047,602679,send,"<0.62.0>","<0.4.0>",,,,,"{<0.62.0>,{list_dir,""/usr/lib/erlang/lib/kernel-5.0/ebin""}}","-1",
1498765047,602906,send,"<0.62.0>","<0.4.0>",,,,,"{<0.62.0>,{list_dir,""/usr/lib/erlang/lib/stdlib-3.0.1/ebin""}}","-1",
1498765047,605564,send,"<0.62.0>",,,"code_server",,,"{code_call,<0.62.0>,{ensure_loaded,beam_lib}}","-1",
1498765047,607636,send,"<0.62.0>",,,"code_server",,,"{code_call,<0.62.0>,{ensure_loaded,ram_file}}","-1",
1498765047,609445,send,"<0.62.0>",,,"code_server",,,"{code_call,<0.62.0>,{ensure_loaded,erl_anno}}","-1",
1498765047,610627,send,"<0.62.0>",,,"code_server",,,"{code_call,<0.62.0>,{ensure_loaded,ordsets}}","-1",
1498765047,611575,send,"<0.62.0>",,,"code_server",,,"{code_call,<0.62.0>,{ensure_loaded,dict}}","-1",
1498765047,612718,send,"<0.62.0>",,,"code_server",,,"{code_call,<0.62.0>,{ensure_loaded,sets}}","-1",
1498765047,613625,send,"<0.62.0>",,,"code_server",,,"{code_call,<0.62.0>,{is_loaded,user_default}}","-1",
1498765047,613669,send,"<0.62.0>","<0.60.0>",,,,,"{io_request,<0.62.0>,#Ref<0.0.3.63>,
            {put_chars,unicode,io_lib,format,[<<""Eshell V~s\n"">>,[""8.0.2""]]}}","-1",
1498765047,613673,shell_output,,,,,,"Eshell V8.0.2
",,"-1",
1498765047,613699,spawn,"<0.63.0>","<0.62.0>","erlang:apply/2",,,,,"-1",
1498765047,613701,link,"<0.63.0>","<0.62.0>",,,,,,"-1",
1498765047,613713,spawn,"<0.64.0>","<0.62.0>","erlang:apply/2",,,,,"-1",
1498765047,613714,link,"<0.64.0>","<0.62.0>",,,,,,"-1",
1498765047,613780,send,"<0.64.0>","<0.60.0>",,,,,"{io_request,<0.64.0>,#Ref<0.0.3.65>,
            {get_until,unicode,[""1"",62,32],erl_scan,tokens,[1,[]]}}","-1",
1498765047,613791,shell_input_expected,,,,,"1> ",,,"-1",
1498765067,81626,module_stored,,,,"gs1",,,,"372","D78A96C3CB848943E5A5573A95C1BC30"
1498765071,407641,shell_input,,,,,"1> ","c(gs1).
",,"-1",
1498765071,407911,exit,"<0.64.0>",,,,,,"{ok,[{call,1,{atom,1,c},[{atom,1,gs1}]}]}","-1",
1498765071,407942,send,"<0.62.0>","<0.63.0>",,,,,"{shell_cmd,<0.62.0>,{eval,[{call,1,{atom,1,c},[{atom,1,gs1}]}]},cmd}","-1",
1498765071,408033,send,"<0.63.0>",,,"code_server",,,"{code_call,<0.63.0>,{ensure_loaded,erl_internal}}","-1",
1498765071,409324,send,"<0.63.0>",,,"code_server",,,"{code_call,<0.63.0>,{ensure_loaded,shell_default}}","-1",
1498765071,410369,send,"<0.63.0>",,,"code_server",,,"{code_call,<0.63.0>,{ensure_loaded,compile}}","-1",
1498765071,419205,spawn,"<0.66.0>","<0.63.0>","erlang:apply/2",,,,,"-1",
1498765071,419271,send,"<0.66.0>","<0.45.0>",,,,,"{'$gen_call',{<0.66.0>,#Ref<0.0.3.78>},{delete,""gs1.beam""}}","-1",
1498765071,419400,spawn,"<0.67.0>","<0.66.0>","erlang:apply/2",,,,,"-1",
1498765071,419416,send,"<0.67.0>","<0.45.0>",,,,,"{'$gen_call',{<0.67.0>,#Ref<0.0.2.10>},{open,""gs1.erl"",[read]}}","-1",
1498765071,419512,send,"<0.67.0>","<0.68.0>",,,,,"{file_request,<0.67.0>,#Ref<0.0.2.14>,{position,cur}}","-1",
1498765071,419554,send,"<0.67.0>","<0.68.0>",,,,,"{io_request,<0.67.0>,#Ref<0.0.2.15>,getopts}","-1",
1498765071,419565,send,"<0.67.0>","<0.68.0>",,,,,"{io_request,<0.67.0>,#Ref<0.0.2.16>,{setopts,[binary,{encoding,latin1}]}}","-1",
