at,at_mcs,type,pid,pid_arg,mfa,atom,prompt,message,term,size,hash
1498729099,408860,send,"<0.61.0>","<0.55.0>",,,,,"{#Ref<0.0.3.64>,ok}","-1",
1498729099,408886,send,"<0.61.0>",,,"code_server",,,"{code_call,<0.61.0>,{ensure_loaded,shell}}","-1",
1498729099,413745,send,"<0.61.0>",,,"code_server",,,"{code_call,<0.61.0>,{ensure_loaded,user_default}}","-1",
1498729099,417711,spawn,"<0.62.0>","<0.61.0>","erlang:apply/2",,,,,"-1",
1498729099,417716,send,"<0.61.0>","<0.58.0>",,,,,"{'$gen_call',{<0.61.0>,#Ref<0.0.3.65>},{ignore_pids_tracing,[<0.62.0>]}}","-1",
1498729099,417743,send,"<0.62.0>",,,"init",,,"{<0.62.0>,{get_argument,async_shell_start}}","-1",
1498729099,417763,send,"<0.62.0>",,,"init",,,"{<0.62.0>,{notify_when_started,<0.62.0>}}","-1",
1498729099,417792,send,"<0.62.0>",,,"code_server",,,"{code_call,<0.62.0>,{is_loaded,shell_default}}","-1",
1498729099,419563,send,"<0.62.0>",,,"code_server",,,"{code_call,<0.62.0>,get_path}","-1",
1498729099,423448,send,"<0.62.0>","<0.4.0>",,,,,"{<0.62.0>,
 {list_dir,""/home/vg/work/espace/erunner/_build/default/lib/erunner/ebin""}}","-1",
1498729099,423777,send,"<0.62.0>","<0.4.0>",,,,,"{<0.62.0>,{list_dir,"".""}}","-1",
1498729099,423901,send,"<0.62.0>","<0.4.0>",,,,,"{<0.62.0>,{list_dir,""/usr/lib/erlang/lib/kernel-5.0/ebin""}}","-1",
1498729099,424115,send,"<0.62.0>","<0.4.0>",,,,,"{<0.62.0>,{list_dir,""/usr/lib/erlang/lib/stdlib-3.0.1/ebin""}}","-1",
1498729099,426826,send,"<0.62.0>",,,"code_server",,,"{code_call,<0.62.0>,{ensure_loaded,beam_lib}}","-1",
1498729099,428841,send,"<0.62.0>",,,"code_server",,,"{code_call,<0.62.0>,{ensure_loaded,ram_file}}","-1",
1498729099,430549,send,"<0.62.0>",,,"code_server",,,"{code_call,<0.62.0>,{ensure_loaded,erl_anno}}","-1",
1498729099,431768,send,"<0.62.0>",,,"code_server",,,"{code_call,<0.62.0>,{ensure_loaded,ordsets}}","-1",
1498729099,432396,send,"<0.62.0>",,,"code_server",,,"{code_call,<0.62.0>,{ensure_loaded,dict}}","-1",
1498729099,433558,send,"<0.62.0>",,,"code_server",,,"{code_call,<0.62.0>,{ensure_loaded,sets}}","-1",
1498729099,434450,send,"<0.62.0>",,,"code_server",,,"{code_call,<0.62.0>,{is_loaded,user_default}}","-1",
1498729099,434498,send,"<0.62.0>","<0.60.0>",,,,,"{io_request,<0.62.0>,#Ref<0.0.3.87>,
            {put_chars,unicode,io_lib,format,[<<""Eshell V~s\n"">>,[""8.0.2""]]}}","-1",
1498729099,434503,shell_output,,,,,,"Eshell V8.0.2
",,"-1",
1498729099,434526,spawn,"<0.63.0>","<0.62.0>","erlang:apply/2",,,,,"-1",
1498729099,434528,link,"<0.63.0>","<0.62.0>",,,,,,"-1",
1498729099,434541,spawn,"<0.64.0>","<0.62.0>","erlang:apply/2",,,,,"-1",
