at,at_mcs,type,pid,pid_arg,mfa,atom,prompt,message,term,size,hash
1498734523,923685,send,"<0.61.0>","<0.55.0>",,,,,"{#Ref<0.0.1.64>,ok}","-1",
1498734523,923709,send,"<0.61.0>",,,"code_server",,,"{code_call,<0.61.0>,{ensure_loaded,shell}}","-1",
1498734523,929094,send,"<0.61.0>",,,"code_server",,,"{code_call,<0.61.0>,{ensure_loaded,user_default}}","-1",
1498734523,933160,spawn,"<0.62.0>","<0.61.0>","erlang:apply/2",,,,,"-1",
1498734523,933166,send,"<0.61.0>","<0.58.0>",,,,,"{'$gen_call',{<0.61.0>,#Ref<0.0.1.65>},{ignore_pids_tracing,[<0.62.0>]}}","-1",
1498734523,933192,send,"<0.62.0>",,,"init",,,"{<0.62.0>,{get_argument,async_shell_start}}","-1",
1498734523,933211,send,"<0.62.0>",,,"init",,,"{<0.62.0>,{notify_when_started,<0.62.0>}}","-1",
1498734523,933240,send,"<0.62.0>",,,"code_server",,,"{code_call,<0.62.0>,{is_loaded,shell_default}}","-1",
1498734523,935110,send,"<0.62.0>",,,"code_server",,,"{code_call,<0.62.0>,get_path}","-1",
1498734523,938775,send,"<0.62.0>","<0.4.0>",,,,,"{<0.62.0>,
 {list_dir,""/home/vg/work/espace/erunner/_build/default/lib/erunner/ebin""}}","-1",
1498734523,938971,send,"<0.62.0>","<0.4.0>",,,,,"{<0.62.0>,{list_dir,"".""}}","-1",
1498734523,939070,send,"<0.62.0>","<0.4.0>",,,,,"{<0.62.0>,{list_dir,""/usr/lib/erlang/lib/kernel-5.0/ebin""}}","-1",
1498734523,939262,send,"<0.62.0>","<0.4.0>",,,,,"{<0.62.0>,{list_dir,""/usr/lib/erlang/lib/stdlib-3.0.1/ebin""}}","-1",
1498734523,942226,send,"<0.62.0>",,,"code_server",,,"{code_call,<0.62.0>,{ensure_loaded,beam_lib}}","-1",
1498734523,944420,send,"<0.62.0>",,,"code_server",,,"{code_call,<0.62.0>,{ensure_loaded,ram_file}}","-1",
1498734523,946400,send,"<0.62.0>",,,"code_server",,,"{code_call,<0.62.0>,{ensure_loaded,erl_anno}}","-1",
1498734523,947619,send,"<0.62.0>",,,"code_server",,,"{code_call,<0.62.0>,{ensure_loaded,ordsets}}","-1",
1498734523,948226,send,"<0.62.0>",,,"code_server",,,"{code_call,<0.62.0>,{ensure_loaded,dict}}","-1",
1498734523,949357,send,"<0.62.0>",,,"code_server",,,"{code_call,<0.62.0>,{ensure_loaded,sets}}","-1",
1498734523,950257,send,"<0.62.0>",,,"code_server",,,"{code_call,<0.62.0>,{is_loaded,user_default}}","-1",
1498734523,950310,send,"<0.62.0>","<0.60.0>",,,,,"{io_request,<0.62.0>,#Ref<0.0.1.87>,
            {put_chars,unicode,io_lib,format,[<<""Eshell V~s\n"">>,[""8.0.2""]]}}","-1",
1498734523,950315,shell_output,,,,,,"Eshell V8.0.2
",,"-1",
1498734523,950342,spawn,"<0.63.0>","<0.62.0>","erlang:apply/2",,,,,"-1",
1498734523,950344,link,"<0.63.0>","<0.62.0>",,,,,,"-1",
1498734523,950358,spawn,"<0.64.0>","<0.62.0>","erlang:apply/2",,,,,"-1",
1498734523,950359,link,"<0.64.0>","<0.62.0>",,,,,,"-1",
1498734523,950420,send,"<0.64.0>","<0.60.0>",,,,,"{io_request,<0.64.0>,#Ref<0.0.1.89>,
            {get_until,unicode,[""1"",62,32],erl_scan,tokens,[1,[]]}}","-1",
1498734523,950430,shell_input_expected,,,,,"1> ",,,"-1",
1498734550,906490,module_stored,,,,"kitchen",,,,"1382","78D8E963886EEF3E1829F0BFC11F4DE1"
1498734570,318903,shell_input,,,,,"1> ","c(kitchen).
",,"-1",
1498734570,319183,exit,"<0.64.0>",,,,,,"{ok,[{call,1,{atom,1,c},[{atom,1,kitchen}]}]}","-1",
1498734570,319353,send,"<0.62.0>","<0.63.0>",,,,,"{shell_cmd,<0.62.0>,{eval,[{call,1,{atom,1,c},[{atom,1,kitchen}]}]},cmd}","-1",
1498734570,319502,send,"<0.63.0>",,,"code_server",,,"{code_call,<0.63.0>,{ensure_loaded,erl_internal}}","-1",
1498734570,321590,send,"<0.63.0>",,,"code_server",,,"{code_call,<0.63.0>,{ensure_loaded,shell_default}}","-1",
1498734570,323203,send,"<0.63.0>",,,"code_server",,,"{code_call,<0.63.0>,{ensure_loaded,compile}}","-1",
1498734570,332265,spawn,"<0.66.0>","<0.63.0>","erlang:apply/2",,,,,"-1",
1498734570,332335,send,"<0.66.0>","<0.45.0>",,,,,"{'$gen_call',{<0.66.0>,#Ref<0.0.1.111>},{delete,""kitchen.beam""}}","-1",
1498734570,332470,spawn,"<0.67.0>","<0.66.0>","erlang:apply/2",,,,,"-1",
1498734570,332490,send,"<0.67.0>","<0.45.0>",,,,,"{'$gen_call',{<0.67.0>,#Ref<0.0.1.114>},{open,""kitchen.erl"",[read]}}","-1",
1498734570,332568,send,"<0.67.0>","<0.68.0>",,,,,"{file_request,<0.67.0>,#Ref<0.0.1.119>,{position,cur}}","-1",
1498734570,332658,send,"<0.67.0>","<0.68.0>",,,,,"{io_request,<0.67.0>,#Ref<0.0.1.121>,getopts}","-1",
1498734570,332666,send,"<0.67.0>","<0.68.0>",,,,,"{io_request,<0.67.0>,#Ref<0.0.1.122>,{setopts,[binary,{encoding,latin1}]}}","-1",
1498734570,332682,send,"<0.67.0>","<0.68.0>",,,,,"{io_request,<0.67.0>,#Ref<0.0.1.123>,{get_chars,'',32}}","-1",
1498734570,332770,send,"<0.67.0>","<0.68.0>",,,,,"{io_request,<0.67.0>,#Ref<0.0.1.125>,{get_chars,'',32}}","-1",
1498734570,332820,send,"<0.67.0>","<0.68.0>",,,,,"{file_request,<0.67.0>,#Ref<0.0.1.127>,{position,0}}","-1",
1498734570,332843,send,"<0.67.0>","<0.68.0>",,,,,"{io_request,<0.67.0>,#Ref<0.0.1.128>,
            {setopts,[{binary,false},{encoding,latin1}]}}","-1",
1498734570,332896,send,"<0.67.0>","<0.68.0>",,,,,"{io_request,<0.67.0>,#Ref<0.0.1.130>,{setopts,[{encoding,utf8}]}}","-1",
1498734570,332903,send,"<0.67.0>","<0.66.0>",,,,,"{epp_reply,<0.67.0>,{ok,<0.67.0>,none}}","-1",
1498734570,332915,send,"<0.66.0>","<0.67.0>",,,,,"{epp_request,<0.66.0>,scan_erl_form}","-1",
1498734570,332955,send,"<0.67.0>","<0.66.0>",,,,,"{epp_reply,<0.67.0>,
           {ok,[{'-',1},
                {atom,1,file},
                {'(',1},
                {string,1,""kitchen.erl""},
                {',',1},
                {integer,1,1},
                {')',1},
                {dot,1}]}}","-1",
1498734570,332982,send,"<0.66.0>","<0.67.0>",,,,,"{epp_request,<0.66.0>,scan_erl_form}","-1",
1498734570,332996,send,"<0.67.0>","<0.68.0>",,,,,"{io_request,<0.67.0>,#Ref<0.0.1.134>,
            {get_until,unicode,'',erl_scan,tokens,[1,[]]}}","-1",
1498734570,333072,send,"<0.67.0>","<0.66.0>",,,,,"{epp_reply,<0.67.0>,
           {ok,[{'-',1},
                {atom,1,module},
                {'(',1},
                {atom,1,kitchen},
                {')',1},
                {dot,1}]}}","-1",
1498734570,333126,send,"<0.66.0>","<0.67.0>",,,,,"{epp_request,<0.66.0>,scan_erl_form}","-1",
1498734570,333143,send,"<0.67.0>","<0.68.0>",,,,,"{io_request,<0.67.0>,#Ref<0.0.1.138>,
            {get_until,unicode,'',erl_scan,tokens,[2,[]]}}","-1",
1498734570,333164,send,"<0.67.0>","<0.66.0>",,,,,"{epp_reply,<0.67.0>,
           {ok,[{'-',2},
                {atom,2,compile},
                {'(',2},
                {atom,2,export_all},
                {')',2},
                {dot,2}]}}","-1",
1498734570,333217,send,"<0.66.0>","<0.67.0>",,,,,"{epp_request,<0.66.0>,scan_erl_form}","-1",
1498734570,333228,send,"<0.67.0>","<0.68.0>",,,,,"{io_request,<0.67.0>,#Ref<0.0.1.141>,
            {get_until,unicode,'',erl_scan,tokens,[3,[]]}}","-1",
1498734570,333261,send,"<0.67.0>","<0.66.0>",,,,,"{epp_reply,<0.67.0>,
           {ok,[{atom,4,start},
                {'(',4},
                {var,4,'FoodList'},
                {')',4},
                {'->',4},
                {atom,5,spawn},
                {'(',5},
                {atom,5,kitchen},
                {',',5},
                {atom,5,fridge2},
                {',',5},
                {'[',5},
                {var,5,'FoodList'},
                {']',5},
                {')',5},
                {dot,5}]}}","-1",
1498734570,333326,send,"<0.66.0>","<0.67.0>",,,,,"{epp_request,<0.66.0>,scan_erl_form}","-1",
1498734570,333337,send,"<0.67.0>","<0.68.0>",,,,,"{io_request,<0.67.0>,#Ref<0.0.1.144>,
            {get_until,unicode,'',erl_scan,tokens,[6,[]]}}","-1",
1498734570,333429,send,"<0.67.0>","<0.66.0>",,,,,"{epp_reply,<0.67.0>,
           {ok,[{atom,7,store},
                {'(',7},
                {var,7,'Pid'},
                {',',7},
                {var,7,'Food'},
                {')',7},
                {'->',7},
                {var,8,'Pid'},
                {'!',8},
                {'{',8},
                {atom,8,self},
                {'(',8},
                {')',8},
                {',',8},
                {'{',8},
                {atom,8,store},
                {',',8},
                {var,8,'Food'},
                {'}',8},
                {'}',8},
                {',',8},
                {'receive',9},
                {'{',10},
                {var,10,'Pid'},
                {',',10},
                {var,10,'Msg'},
                {'}',10},
                {'->',10},
                {var,10,'Msg'},
                {'end',11},
                {dot,11}]}}","-1",
1498734570,333464,send,"<0.66.0>","<0.67.0>",,,,,"{epp_request,<0.66.0>,scan_erl_form}","-1",
1498734570,333511,send,"<0.67.0>","<0.68.0>",,,,,"{io_request,<0.67.0>,#Ref<0.0.1.148>,
            {get_until,unicode,'',erl_scan,tokens,[12,[]]}}","-1",
