at,at_mcs,type,pid,pid_arg,mfa,atom,prompt,message,term,size,hash
1498736756,499421,send,"<0.61.0>","<0.55.0>",,,,,"{#Ref<0.0.3.40>,ok}","-1",
1498736756,499476,send,"<0.61.0>",,,"code_server",,,"{code_call,<0.61.0>,{ensure_loaded,shell}}","-1",
1498736756,505168,send,"<0.61.0>",,,"code_server",,,"{code_call,<0.61.0>,{ensure_loaded,user_default}}","-1",
1498736756,509115,spawn,"<0.62.0>","<0.61.0>","erlang:apply/2",,,,,"-1",
1498736756,509120,send,"<0.61.0>","<0.58.0>",,,,,"{'$gen_call',{<0.61.0>,#Ref<0.0.3.41>},{ignore_pids_tracing,[<0.62.0>]}}","-1",
1498736756,509147,send,"<0.62.0>",,,"init",,,"{<0.62.0>,{get_argument,async_shell_start}}","-1",
1498736756,509157,send,"<0.62.0>",,,"init",,,"{<0.62.0>,{notify_when_started,<0.62.0>}}","-1",
1498736756,509181,send,"<0.62.0>",,,"code_server",,,"{code_call,<0.62.0>,{is_loaded,shell_default}}","-1",
1498736756,511048,send,"<0.62.0>",,,"code_server",,,"{code_call,<0.62.0>,get_path}","-1",
1498736756,514307,send,"<0.62.0>","<0.4.0>",,,,,"{<0.62.0>,
 {list_dir,""/home/vg/work/espace/erunner/_build/default/lib/erunner/ebin""}}","-1",
1498736756,514494,send,"<0.62.0>","<0.4.0>",,,,,"{<0.62.0>,{list_dir,"".""}}","-1",
1498736756,514582,send,"<0.62.0>","<0.4.0>",,,,,"{<0.62.0>,{list_dir,""/usr/lib/erlang/lib/kernel-5.0/ebin""}}","-1",
1498736756,514738,send,"<0.62.0>","<0.4.0>",,,,,"{<0.62.0>,{list_dir,""/usr/lib/erlang/lib/stdlib-3.0.1/ebin""}}","-1",
1498736756,517416,send,"<0.62.0>",,,"code_server",,,"{code_call,<0.62.0>,{ensure_loaded,beam_lib}}","-1",
1498736756,519421,send,"<0.62.0>",,,"code_server",,,"{code_call,<0.62.0>,{ensure_loaded,ram_file}}","-1",
1498736756,521174,send,"<0.62.0>",,,"code_server",,,"{code_call,<0.62.0>,{ensure_loaded,erl_anno}}","-1",
1498736756,522342,send,"<0.62.0>",,,"code_server",,,"{code_call,<0.62.0>,{ensure_loaded,ordsets}}","-1",
1498736756,522958,send,"<0.62.0>",,,"code_server",,,"{code_call,<0.62.0>,{ensure_loaded,dict}}","-1",
1498736756,524119,send,"<0.62.0>",,,"code_server",,,"{code_call,<0.62.0>,{ensure_loaded,sets}}","-1",
1498736756,525011,send,"<0.62.0>",,,"code_server",,,"{code_call,<0.62.0>,{is_loaded,user_default}}","-1",
1498736756,525057,send,"<0.62.0>","<0.60.0>",,,,,"{io_request,<0.62.0>,#Ref<0.0.3.63>,
            {put_chars,unicode,io_lib,format,[<<""Eshell V~s\n"">>,[""8.0.2""]]}}","-1",
1498736756,525062,shell_output,,,,,,"Eshell V8.0.2
",,"-1",
1498736756,525088,spawn,"<0.63.0>","<0.62.0>","erlang:apply/2",,,,,"-1",
1498736756,525090,link,"<0.63.0>","<0.62.0>",,,,,,"-1",
1498736756,525101,spawn,"<0.64.0>","<0.62.0>","erlang:apply/2",,,,,"-1",
1498736756,525103,link,"<0.64.0>","<0.62.0>",,,,,,"-1",
1498736756,525186,send,"<0.64.0>","<0.60.0>",,,,,"{io_request,<0.64.0>,#Ref<0.0.3.65>,
            {get_until,unicode,[""1"",62,32],erl_scan,tokens,[1,[]]}}","-1",
1498736756,525198,shell_input_expected,,,,,"1> ",,,"-1",
1498736765,296727,module_stored,,,,"linkmon",,,,"2171","EB405AB2ADE19B961280E3D5F2FDA517"
1498736772,380758,shell_input,,,,,"1> ","c(linkmon).
",,"-1",
1498736772,387459,exit,"<0.64.0>",,,,,,"{ok,[{call,1,{atom,1,c},[{atom,1,linkmon}]}]}","-1",
1498736772,387626,send,"<0.62.0>","<0.63.0>",,,,,"{shell_cmd,<0.62.0>,{eval,[{call,1,{atom,1,c},[{atom,1,linkmon}]}]},cmd}","-1",
1498736772,387794,send,"<0.63.0>",,,"code_server",,,"{code_call,<0.63.0>,{ensure_loaded,erl_internal}}","-1",
1498736772,389622,send,"<0.63.0>",,,"code_server",,,"{code_call,<0.63.0>,{ensure_loaded,shell_default}}","-1",
1498736772,390303,send,"<0.63.0>",,,"code_server",,,"{code_call,<0.63.0>,{ensure_loaded,compile}}","-1",
1498736772,395774,spawn,"<0.66.0>","<0.63.0>","erlang:apply/2",,,,,"-1",
1498736772,395849,send,"<0.66.0>","<0.45.0>",,,,,"{'$gen_call',{<0.66.0>,#Ref<0.0.3.86>},{delete,""linkmon.beam""}}","-1",
1498736772,395966,spawn,"<0.67.0>","<0.66.0>","erlang:apply/2",,,,,"-1",
1498736772,395993,send,"<0.67.0>","<0.45.0>",,,,,"{'$gen_call',{<0.67.0>,#Ref<0.0.3.89>},{open,""linkmon.erl"",[read]}}","-1",
1498736772,396082,send,"<0.67.0>","<0.68.0>",,,,,"{file_request,<0.67.0>,#Ref<0.0.3.94>,{position,cur}}","-1",
1498736772,396156,send,"<0.67.0>","<0.68.0>",,,,,"{io_request,<0.67.0>,#Ref<0.0.3.96>,getopts}","-1",
1498736772,396209,send,"<0.67.0>","<0.68.0>",,,,,"{io_request,<0.67.0>,#Ref<0.0.3.98>,{setopts,[binary,{encoding,latin1}]}}","-1",
1498736772,396229,send,"<0.67.0>","<0.68.0>",,,,,"{io_request,<0.67.0>,#Ref<0.0.3.99>,{get_chars,'',32}}","-1",
1498736772,396358,send,"<0.67.0>","<0.68.0>",,,,,"{io_request,<0.67.0>,#Ref<0.0.3.102>,{get_chars,'',32}}","-1",
1498736772,396379,send,"<0.67.0>","<0.68.0>",,,,,"{file_request,<0.67.0>,#Ref<0.0.3.103>,{position,0}}","-1",
