at,at_mcs,type,pid,pid_arg,mfa,atom,prompt,message,term,size,hash
1498952738,672460,send,"<0.61.0>","<0.55.0>",,,,,"{#Ref<0.0.1.64>,ok}","-1",
1498952738,672481,send,"<0.61.0>",,,"code_server",,,"{code_call,<0.61.0>,{ensure_loaded,shell}}","-1",
1498952738,676667,send,"<0.61.0>",,,"code_server",,,"{code_call,<0.61.0>,{ensure_loaded,user_default}}","-1",
1498952738,684195,spawn,"<0.62.0>","<0.61.0>","erlang:apply/2",,,,,"-1",
1498952738,684204,send,"<0.61.0>","<0.58.0>",,,,,"{'$gen_call',{<0.61.0>,#Ref<0.0.1.65>},{ignore_pids_tracing,[<0.62.0>]}}","-1",
1498952738,684248,send,"<0.62.0>",,,"init",,,"{<0.62.0>,{get_argument,async_shell_start}}","-1",
1498952738,684284,send,"<0.62.0>",,,"init",,,"{<0.62.0>,{notify_when_started,<0.62.0>}}","-1",
1498952738,684324,send,"<0.62.0>",,,"code_server",,,"{code_call,<0.62.0>,{is_loaded,shell_default}}","-1",
1498952738,687277,send,"<0.62.0>",,,"code_server",,,"{code_call,<0.62.0>,get_path}","-1",
1498952738,691969,send,"<0.62.0>","<0.4.0>",,,,,"{<0.62.0>,
 {list_dir,""/home/vg/work/espace/erunner/_build/default/lib/erunner/ebin""}}","-1",
1498952738,692228,send,"<0.62.0>","<0.4.0>",,,,,"{<0.62.0>,{list_dir,"".""}}","-1",
1498952738,692382,send,"<0.62.0>","<0.4.0>",,,,,"{<0.62.0>,{list_dir,""/usr/lib/erlang/lib/kernel-5.0/ebin""}}","-1",
1498952738,692565,send,"<0.62.0>","<0.4.0>",,,,,"{<0.62.0>,{list_dir,""/usr/lib/erlang/lib/stdlib-3.0.1/ebin""}}","-1",
1498952738,696531,send,"<0.62.0>",,,"code_server",,,"{code_call,<0.62.0>,{ensure_loaded,beam_lib}}","-1",
1498952738,699395,send,"<0.62.0>",,,"code_server",,,"{code_call,<0.62.0>,{ensure_loaded,ram_file}}","-1",
1498952738,701531,send,"<0.62.0>",,,"code_server",,,"{code_call,<0.62.0>,{ensure_loaded,erl_anno}}","-1",
1498952738,702801,send,"<0.62.0>",,,"code_server",,,"{code_call,<0.62.0>,{ensure_loaded,ordsets}}","-1",
